cohort,pipeline,seed,model,task_idx,subject_acc
ftd,PCA,46,MLP_(Neural_Network),0,1.0
ftd,PCA,46,MLP_(Neural_Network),1,1.0
ftd,PCA,46,MLP_(Neural_Network),2,1.0
ftd,PCA,46,SVM,0,0.8846153846153846
ftd,PCA,46,SVM,1,0.7307692307692307
ftd,PCA,46,SVM,2,0.7884615384615384
ftd,PCA,46,XGBoost,0,0.9807692307692307
ftd,PCA,46,XGBoost,1,1.0
ftd,PCA,46,XGBoost,2,1.0
ftd,PCA,47,KNN,0,1.0
ftd,PCA,47,KNN,1,0.9423076923076923
ftd,PCA,47,KNN,2,0.9615384615384616
ftd,PCA,47,MLP_(Neural_Network),0,1.0
ftd,PCA,47,MLP_(Neural_Network),1,1.0
ftd,PCA,47,MLP_(Neural_Network),2,1.0
ftd,PCA,47,SVM,0,0.7884615384615384
ftd,PCA,47,SVM,1,0.75
ftd,PCA,47,SVM,2,0.9038461538461539
ftd,PCA,47,XGBoost,0,1.0
ftd,PCA,47,XGBoost,1,0.9615384615384616
ftd,PCA,47,XGBoost,2,0.9807692307692307
ftd,PCA,48,KNN,0,0.9423076923076923
ftd,PCA,48,KNN,1,0.9423076923076923
ftd,PCA,48,KNN,2,1.0
ftd,PCA,48,MLP_(Neural_Network),0,1.0
ftd,PCA,48,MLP_(Neural_Network),1,1.0
ftd,PCA,48,MLP_(Neural_Network),2,1.0
ftd,PCA,48,SVM,0,0.8846153846153846
ftd,PCA,48,SVM,1,0.8269230769230769
ftd,PCA,48,SVM,2,0.7307692307692307
ftd,PCA,48,XGBoost,0,0.9807692307692307
ftd,PCA,48,XGBoost,1,0.9807692307692307
ftd,PCA,48,XGBoost,2,1.0
ftd,PCA,49,KNN,0,0.9423076923076923
ftd,PCA,49,KNN,1,0.9807692307692307
ftd,PCA,49,KNN,2,1.0
ftd,PCA,49,MLP_(Neural_Network),0,1.0
ftd,PCA,49,MLP_(Neural_Network),1,1.0
ftd,PCA,49,MLP_(Neural_Network),2,1.0
ftd,PCA,49,SVM,0,0.8846153846153846
ftd,PCA,49,SVM,1,0.7307692307692307
ftd,PCA,49,SVM,2,0.8461538461538461
ftd,PCA,49,XGBoost,0,1.0
ftd,PCA,49,XGBoost,1,0.9615384615384616
ftd,PCA,49,XGBoost,2,0.9807692307692307
ftd,PCA,50,KNN,0,0.9615384615384616
ftd,PCA,50,KNN,1,0.9807692307692307
ftd,PCA,50,KNN,2,1.0
ftd,PCA,50,MLP_(Neural_Network),0,1.0
ftd,PCA,50,MLP_(Neural_Network),1,1.0
ftd,PCA,50,MLP_(Neural_Network),2,1.0
ftd,PCA,50,SVM,0,0.8269230769230769
ftd,PCA,50,SVM,1,0.7115384615384616
ftd,PCA,50,SVM,2,0.9038461538461539
ftd,PCA,50,XGBoost,0,1.0
ftd,PCA,50,XGBoost,1,1.0
ftd,PCA,50,XGBoost,2,1.0
ftd,PCA,51,KNN,0,0.9615384615384616
ftd,PCA,51,KNN,1,1.0
ftd,PCA,51,KNN,2,0.9423076923076923
ftd,PCA,51,MLP_(Neural_Network),0,1.0
ftd,PCA,51,MLP_(Neural_Network),1,1.0
ftd,PCA,51,MLP_(Neural_Network),2,1.0
ftd,PCA,51,SVM,0,0.8076923076923077
ftd,PCA,51,SVM,1,0.7115384615384616
ftd,PCA,51,SVM,2,0.8846153846153846
ftd,PCA,51,XGBoost,0,0.9807692307692307
ftd,PCA,51,XGBoost,1,1.0
ftd,PCA,51,XGBoost,2,1.0
mdd_ec,ANOVA,42,KNN,0,1.0
mdd_ec,ANOVA,42,KNN,1,0.9642857142857143
mdd_ec,ANOVA,42,KNN,2,0.9821428571428571
mdd_ec,ANOVA,42,MLP_(Neural_Network),0,0.9821428571428571
mdd_ec,ANOVA,42,MLP_(Neural_Network),1,1.0
mdd_ec,ANOVA,42,MLP_(Neural_Network),2,1.0
mdd_ec,ANOVA,42,SVM,0,0.9464285714285714
mdd_ec,ANOVA,42,SVM,1,0.8392857142857143
mdd_ec,ANOVA,42,SVM,2,0.9107142857142857
mdd_ec,ANOVA,42,XGBoost,0,1.0
mdd_ec,ANOVA,42,XGBoost,1,1.0
mdd_ec,ANOVA,42,XGBoost,2,1.0
mdd_ec,ANOVA,43,KNN,0,0.9821428571428571
mdd_ec,ANOVA,43,KNN,1,1.0
mdd_ec,ANOVA,43,KNN,2,0.9821428571428571
mdd_ec,ANOVA,43,MLP_(Neural_Network),0,1.0
mdd_ec,ANOVA,43,MLP_(Neural_Network),1,1.0
mdd_ec,ANOVA,43,MLP_(Neural_Network),2,1.0
mdd_ec,ANOVA,43,SVM,0,0.9107142857142857
mdd_ec,ANOVA,43,SVM,1,0.9464285714285714
mdd_ec,ANOVA,43,SVM,2,0.8392857142857143
mdd_ec,ANOVA,43,XGBoost,0,1.0
mdd_ec,ANOVA,43,XGBoost,1,1.0
mdd_ec,ANOVA,43,XGBoost,2,1.0
mdd_ec,ANOVA,44,KNN,0,0.9821428571428571
mdd_ec,ANOVA,44,KNN,1,0.9821428571428571
mdd_ec,ANOVA,44,KNN,2,0.9642857142857143
mdd_ec,ANOVA,44,MLP_(Neural_Network),0,1.0
mdd_ec,ANOVA,44,MLP_(Neural_Network),1,1.0
mdd_ec,ANOVA,44,MLP_(Neural_Network),2,1.0
mdd_ec,ANOVA,44,SVM,0,0.8392857142857143
mdd_ec,ANOVA,44,SVM,1,0.9464285714285714
