experiment,feature_set,holdout_size_P,condition,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-15_sub-16_sub-34_sub-41_sub-42,task_KNN_30_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5033840947546532,0.9178236014699878
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-22_sub-23_sub-32_sub-53_sub-54,task_KNN_31_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.600181323662738,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-22_sub-23_sub-32_sub-53_sub-54,task_KNN_31_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4605621033544878,0.936
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-22_sub-23_sub-32_sub-53_sub-54,task_KNN_31_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4605621033544878,0.9229367088607595
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-11_sub-14_sub-31_sub-58_sub-59,task_KNN_43_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.47860262008733623,0.9196582935014747
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-11_sub-14_sub-31_sub-58_sub-59,task_KNN_43_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6192139737991267,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-11_sub-14_sub-31_sub-58_sub-59,task_KNN_43_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.48034934497816595,0.930743415031018
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-19_sub-22_sub-30_sub-32_sub-37,task_KNN_40_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.44340505144995324,0.932081945705924
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-19_sub-22_sub-30_sub-32_sub-37,task_KNN_40_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4499532273152479,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-8_sub-19_sub-22_sub-30_sub-32_sub-37,task_KNN_40_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.44340505144995324,0.9202744979311737
PCA_L_6_EC,PCA,6,EC,KNN,sub-7_sub-17_sub-20_sub-38_sub-39_sub-54,task_KNN_37_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4728744939271255,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-7_sub-17_sub-20_sub-38_sub-39_sub-54,task_KNN_37_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.47935222672064776,0.9294878374217387
PCA_L_6_EC,PCA,6,EC,KNN,sub-7_sub-17_sub-20_sub-38_sub-39_sub-54,task_KNN_37_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.47935222672064776,0.9184029559683876
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-14_sub-16_sub-38_sub-50_sub-56,task_KNN_29_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4957191780821918,0.9154943934760449
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-14_sub-16_sub-38_sub-50_sub-56,task_KNN_29_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4957191780821918,0.9303771661569826
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-14_sub-16_sub-38_sub-50_sub-56,task_KNN_29_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5102739726027398,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-19_sub-20_sub-27_sub-36_sub-43_sub-57,task_KNN_4_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4932088285229202,0.9128571428571428
PCA_L_6_EC,PCA,6,EC,KNN,sub-19_sub-20_sub-27_sub-36_sub-43_sub-57,task_KNN_4_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4932088285229202,0.9256122448979592
