feature_idx,label,channel,band,f_stat,p_value,cohen_d,abs_d,mean_disease,mean_control,n_disease,n_control,rank
82,P3_all_bands,P3,all_bands,0.14310085122169242,0.7052219338523403,-0.005571052423941236,0.005571052423941236,-8.052659347849596e-09,1.5307936329180158e-09,9921,8614,80
76,Fp1_all_bands,Fp1,all_bands,0.13254113385878524,0.7158158713804808,0.005361563789931729,0.005361563789931729,5.5812748395826375e-09,-9.98735872534834e-09,9921,8614,81
89,T4_all_bands,T4,all_bands,0.1136918440645304,0.7359833640769884,-0.004965703586450588,0.004965703586450588,-4.134239286930805e-09,1.4522460410284957e-09,9921,8614,82
59,T5_Beta,T5,Beta,0.11022548336048825,0.7398913265975033,-0.004889417725597777,0.004889417725597777,0.057134957991273265,0.05736143708694531,9921,8614,83
83,P4_all_bands,P4,all_bands,0.09253329713734873,0.7609843780656166,0.004479867356436309,0.004479867356436309,1.0450931268377914e-08,5.943407042256358e-09,9921,8614,84
85,O2_all_bands,O2,all_bands,0.040881562285720166,0.8397689286727513,-0.0029776927165217175,0.0029776927165217175,3.4846054681238844e-09,6.459867048453598e-09,9921,8614,85
37,O2_Theta,O2,Theta,0.040282711440204184,0.8409310345327119,0.0029558029914080464,0.0029558029914080464,0.1310801044873626,0.13079410290715007,9921,8614,86
94,Pz_all_bands,Pz,all_bands,0.039488346663417793,0.8424865006162591,0.0029265140399250536,0.0029265140399250536,5.204585391677584e-09,3.201873561417434e-09,9921,8614,87
77,Fp2_all_bands,Fp2,all_bands,0.036096255597941954,0.8493189329776525,-0.002797996798707847,0.002797996798707847,-5.76392846399427e-09,-4.467394792969257e-10,9921,8614,88
57,T5_Theta,T5,Theta,0.029169864035446864,0.8643892836868348,0.0025152626337335907,0.0025152626337335907,0.18118244573674108,0.1809348833626372,9921,8614,89
92,Fz_all_bands,Fz,all_bands,0.02326225505880701,0.8787787240781831,-0.0022461670043261127,0.0022461670043261127,-3.3580315455601005e-09,-7.14121234913761e-10,9921,8614,90
91,T6_all_bands,T6,all_bands,0.017999654071604674,0.8932753063690455,0.0019758238159564563,0.0019758238159564563,6.672041433563495e-09,4.111424390339639e-09,9921,8614,91
87,F8_all_bands,F8,all_bands,0.016972443734077886,0.8963476366140845,-0.0019186171644143281,0.0019186171644143281,1.1982989022151266e-09,3.0935676747918948e-09,9921,8614,92
84,O1_all_bands,O1,all_bands,0.010861849961599801,0.9169957322220973,0.0015348574140220956,0.0015348574140220956,1.1240572268394412e-08,7.932515912606775e-09,9921,8614,93
88,T3_all_bands,T3,all_bands,0.004582628519861528,0.946029068763525,-0.0009969501968459045,0.0009969501968459045,3.6497131096429068e-09,4.542043853284587e-09,9921,8614,94
78,F3_all_bands,F3,all_bands,1.0271122552095095e-05,0.997442930913511,4.719816261222688e-05,4.719816261222688e-05,2.8414774972856776e-09,2.7862199495629102e-09,9921,8614,95
